pathway_name	plot_group	n_plp	n_no_plp	OR	p	ci.int1	ci.int2	padj	cohort	perc_plp	fraction	hist_pathway
All DNA Repair	Other high-grade glioma	9096	64927	2.908006004211599	1.3075615578866335e-4	1.6855779622710922	4.858758372444189	9.152930905206435e-4	gnomAD	12.288072626075678	9096/74023	Other high-grade glioma: All DNA Repair
All DNA Repair	Other high-grade glioma	784	5511	2.863132853732285	1.4804732957788687e-4	1.65077609578749	4.812066018757969	0.0010363313070452082	PMBB	12.454328832406672	784/6295	Other high-grade glioma: All DNA Repair
Other DNA Repair	Other high-grade glioma	1609	72414	4.5656169828174	0.0013676880650541844	1.767021740307478	9.940241448270024	0.00957381645537929	gnomAD	2.1736487307998864	1609/74023	Other high-grade glioma: Other DNA Repair
Mismatch Repair	Other high-grade glioma	476	73547	8.58358786956248	0.0015438782465560495	2.267886999192649	23.071171248570586	0.010807147725892346	gnomAD	0.6430433784094133	476/74023	Other high-grade glioma: Mismatch Repair
Mismatch Repair	Other high-grade glioma	40	6255	8.6782423205618109	0.0017688477389247005	2.197945185139687	24.95652255820306	0.012381934172472905	PMBB	0.6354249404289118	40/6295	Other high-grade glioma: Mismatch Repair
Other DNA Repair	Other high-grade glioma	143	6152	4.362928004130262	0.0019581731409853594	1.661585004436177	9.708183776848797	0.013707211986897515	PMBB	2.27164416203336	143/6295	Other high-grade glioma: Other DNA Repair
Other DNA Repair	Pineoblastoma	1609	72414	29.988573840729998	0.004530570287639028	2.5037700289304774	261.676271130039	0.009061140575278057	gnomAD	2.1736487307998864	1609/74023	Pineoblastoma: Other DNA Repair
Other DNA Repair	Pineoblastoma	143	6152	28.602197787588167	0.005026687030336302	2.3722102709504544	251.40509678835525	0.010053374060672604	PMBB	2.27164416203336	143/6295	Pineoblastoma: Other DNA Repair
Mismatch Repair	Non-neoplastic tumor	476	73547	11.883656738481848	0.014067317095469932	1.3631710035043598	47.706590786164426	0.04220195128640979	gnomAD	0.6430433784094133	476/74023	Non-neoplastic tumor: Mismatch Repair
Mismatch Repair	Non-neoplastic tumor	40	6255	12.009927016100459	0.014596852332699892	1.3374600278233502	50.84387661246216	0.04379055699809968	PMBB	0.6354249404289118	40/6295	Non-neoplastic tumor: Mismatch Repair
All DNA Repair	Pineoblastoma	9096	64927	10.704080806760658	0.015310367995487788	1.2262996728873454	128.31871810203734	0.030620735990975576	gnomAD	12.288072626075678	9096/74023	Pineoblastoma: All DNA Repair
All DNA Repair	Pineoblastoma	784	5511	10.534864261550588	0.01598108866506124	1.20509977053567	126.44455818843107	0.03196217733012248	PMBB	12.454328832406672	784/6295	Pineoblastoma: All DNA Repair
Base Excision Repair (BER)	Mesenchymal tumor	1007	73016	8.52962400520389	0.02721243480548622	0.9546150241385494	36.04101609288119	0.05442486961097244	gnomAD	1.3603879875173932	1007/74023	Mesenchymal tumor: Base Excision Repair (BER)
Base Excision Repair (BER)	Low-grade glioma	1007	73016	2.3716560417108528	0.033169267849412466	0.9397783015595683	4.98927889346553	0.26535414279529973	gnomAD	1.3603879875173932	1007/74023	Low-grade glioma: Base Excision Repair (BER)
Base Excision Repair (BER)	Mesenchymal tumor	107	6188	6.798069960711705	0.04171498414716709	0.7526678395067223	29.224474676369258	0.08342996829433418	PMBB	1.6997617156473392	107/6295	Mesenchymal tumor: Base Excision Repair (BER)
