Kids_First_Biospecimen_ID	hallmark_name	gsea_score	data_type
BS_00FD2KMP	HALLMARK_ADIPOGENESIS	-0.145877711	exome_capture
BS_00FD2KMP	HALLMARK_ALLOGRAFT_REJECTION	-0.496850227	exome_capture
BS_00FD2KMP	HALLMARK_ANDROGEN_RESPONSE	-0.373124286	exome_capture
BS_00FD2KMP	HALLMARK_ANGIOGENESIS	-0.715882675	exome_capture
BS_00FD2KMP	HALLMARK_APICAL_JUNCTION	-0.152615018	exome_capture
BS_00FD2KMP	HALLMARK_APICAL_SURFACE	0.042225479	exome_capture
BS_00FD2KMP	HALLMARK_APOPTOSIS	-0.447004913	exome_capture
BS_00FD2KMP	HALLMARK_BILE_ACID_METABOLISM	-0.122574111	exome_capture
BS_00FD2KMP	HALLMARK_CHOLESTEROL_HOMEOSTASIS	-0.111898411	exome_capture
BS_00FD2KMP	HALLMARK_COAGULATION	-0.462424075	exome_capture
BS_00FD2KMP	HALLMARK_COMPLEMENT	-0.403447188	exome_capture
BS_00FD2KMP	HALLMARK_DNA_REPAIR	-0.246107052	exome_capture
BS_00FD2KMP	HALLMARK_E2F_TARGETS	-0.365504527	exome_capture
BS_00FD2KMP	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	-0.597537689	exome_capture
BS_00FD2KMP	HALLMARK_ESTROGEN_RESPONSE_EARLY	-0.231735335	exome_capture
BS_00FD2KMP	HALLMARK_ESTROGEN_RESPONSE_LATE	-0.213148932	exome_capture
BS_00FD2KMP	HALLMARK_FATTY_ACID_METABOLISM	-0.046481987	exome_capture
BS_00FD2KMP	HALLMARK_G2M_CHECKPOINT	-0.326735393	exome_capture
BS_00FD2KMP	HALLMARK_GLYCOLYSIS	-0.305673839	exome_capture
BS_00FD2KMP	HALLMARK_HEDGEHOG_SIGNALING	0.222497045	exome_capture
BS_00FD2KMP	HALLMARK_HEME_METABOLISM	-0.157256209	exome_capture
BS_00FD2KMP	HALLMARK_HYPOXIA	-0.407454645	exome_capture
BS_00FD2KMP	HALLMARK_IL2_STAT5_SIGNALING	-0.433408696	exome_capture
BS_00FD2KMP	HALLMARK_IL6_JAK_STAT3_SIGNALING	-0.59974573	exome_capture
BS_00FD2KMP	HALLMARK_INFLAMMATORY_RESPONSE	-0.530840161	exome_capture
BS_00FD2KMP	HALLMARK_INTERFERON_ALPHA_RESPONSE	-0.577477205	exome_capture
BS_00FD2KMP	HALLMARK_INTERFERON_GAMMA_RESPONSE	-0.610370771	exome_capture
BS_00FD2KMP	HALLMARK_KRAS_SIGNALING_DN	0.244166249	exome_capture
BS_00FD2KMP	HALLMARK_KRAS_SIGNALING_UP	-0.306710495	exome_capture
BS_00FD2KMP	HALLMARK_MITOTIC_SPINDLE	-0.025471311	exome_capture
