hallmark	repair_score	ctrl_score	score_diff	wilcox_stat	pvalue
HALLMARK_ADIPOGENESIS	-0.07894281666666667	-0.04209709418181818	-0.036845722484848485	275	0.7259386351497231
HALLMARK_ALLOGRAFT_REJECTION	0.18053639566666665	-0.15293912246969696	0.3334755181363636	453	0.011236671538058454
HALLMARK_ANDROGEN_RESPONSE	-0.046729296222222216	-0.04165414937878788	-0.005075146843434339	304	0.9156020838451419
HALLMARK_ANGIOGENESIS	0.06285978722222223	-0.11469930990909091	0.17755909713131313	389	0.13575059703350922
HALLMARK_APICAL_JUNCTION	0.014995871777777777	-0.07288744907575757	0.08788332085353535	374	0.21230739532725873
HALLMARK_APICAL_SURFACE	-0.04668427477777778	-0.11842859062121212	0.07174431584343435	369	0.24372506734368132
HALLMARK_APOPTOSIS	0.04962534366666667	-0.07878059353030303	0.1284059371969697	387	0.1445111609134445
HALLMARK_BILE_ACID_METABOLISM	-0.1368683358888889	-0.04511361818181818	-0.09175471770707071	230	0.2782729813185301
HALLMARK_CHOLESTEROL_HOMEOSTASIS	-0.133077382	-0.026981483757575756	-0.10609589824242424	220	0.21230739532725873
HALLMARK_COAGULATION	0.09918665955555556	-0.10499887943939394	0.2041855389949495	408	0.07161194755983064
HALLMARK_COMPLEMENT	0.127606026	-0.10222052603030303	0.22982655203030306	434	0.026049183471936403
HALLMARK_DNA_REPAIR	0.09951816344444445	0.10906157257575758	-0.00954340913131313	287	0.87691061567852
HALLMARK_E2F_TARGETS	0.34427741833333336	0.2084832925	0.13579412583333336	338	0.5090571059224068
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.08831492933333333	-0.16674811106060605	0.2550630403939394	417	0.051377639882812846
HALLMARK_ESTROGEN_RESPONSE_EARLY	-0.09886987422222222	-0.114478784	0.015608909777777777	322	0.6895655456392635
HALLMARK_ESTROGEN_RESPONSE_LATE	-0.04623060044444444	-0.13003598603030303	0.0838053855858586	385	0.15369859904926209
HALLMARK_FATTY_ACID_METABOLISM	-0.046331936000000004	-0.008463768181818182	-0.03786816781818182	283	0.8257915656600585
HALLMARK_G2M_CHECKPOINT	0.32436757388888887	0.20631669324242424	0.11805088064646463	322	0.6895655456392635
HALLMARK_GLYCOLYSIS	0.087273386	-0.012927840439393939	0.10020122643939393	368	0.2503817770169134
HALLMARK_HEDGEHOG_SIGNALING	0.07009146088888889	-0.032315358	0.10240681888888889	383	0.1633234733386272
HALLMARK_HEME_METABOLISM	-0.02923174788888889	-0.013567866287878786	-0.0156638816010101	286	0.8640739017950372
HALLMARK_HYPOXIA	0.042619514	-0.07458433922727273	0.11720385322727273	372	0.22450417481435436
HALLMARK_IL2_STAT5_SIGNALING	0.043883977	-0.10881082957575758	0.15269480657575757	401	0.0915168259760541
