signature	repair_exposure	ctrl_exposure	exposure_diff	wilcox_stat	pvalue
SBS1	0.1252331324074086	0.12407541722634893	0.0011577151810596709	1834	0.8684293307499968
SBS2	0	0.0011510533331576564	-0.0011510533331576564	1845	0.4715506395086999
SBS3	0.22597319884073028	0.20696209520783446	0.01901110363289582	1949	0.682681896364074
SBS5	0.1808973993650719	0.16086511401480186	0.020032285350270046	1913	0.8201623385019106
SBS6	0.019094397410919454	0.012792974814589167	0.0063014225963302865	1884	0.8828357316414529
SBS9	0.013981690802848711	0.009688363453926966	0.004293327348921745	1921	0.6009364372183811
SBS10a	0	0	0	1867.5	NA
SBS10b	0	0.002522401123732045	-0.002522401123732045	1800	0.20199824948055334
SBS10c	0.0016540478732221912	0.002246705329495376	-5.926574562731849e-4	1864	0.9544425021676092
SBS10d	0	0	0	1867.5	NA
SBS11	0.0018682401349977436	0.00845509657089862	-0.0065868564359008765	1819	0.4754490675341881
SBS13	0.00477682239261128	0.006721496740172724	-0.0019446743475614436	1830	0.6915138099591231
SBS14	0.011323306517415208	0.004458074269509733	0.0068652322479054746	1905.5	0.5346777185072966
SBS15	0.01476283718195821	0.05424120608269185	-0.03947836890073364	1519	0.01489500775330589
SBS18	0.07312072143229746	0.06328062480384489	0.009840096628452574	1962.5	0.6204577381892875
SBS20	0.003503435907273995	0.0031445481589506526	3.5888774832334254e-4	1927	0.2612101943906108
SBS21	0.011428458358919032	0.009153600618923088	0.0022748577399959446	1921	0.5506784958389934
SBS25	0.006811555846460115	0.019300083327474172	-0.012488527481014058	1783	0.4071090541761102
SBS26	0.01052183749222024	0.021418112498288632	-0.010896275006068393	1785	0.46377098314015053
SBS30	0.01635620811766917	0.010000959387979005	0.006355248729690165	2041	0.08776104423799705
SBS31	0.014403227609878794	0.015803142823458384	-0.0013999152135795896	1889	0.8415415383630537
SBS32	0.004289310178223258	0.006084895279491444	-0.0017955851012681854	1851	0.8570355572063647
SBS35	0.007440880359712196	0.007781723270853906	-3.408429111417099e-4	1897.5	0.7517225950338933
SBS36	0	0.002905041443581085	-0.002905041443581085	1822.5	0.30123378745609297
SBS44	0	0	0	1867.5	NA
SBS84	0.004356935830326929	0.006231833557708755	-0.0018748977273818261	1881	0.8467413896348391
SBS85	0.05308275436671326	0.05764455534893015	-0.004561800982216889	1757.5	0.5660996531757007
SBS86	0.004644899282331133	0.0037592502509221433	8.856490314089901e-4	1861.5	0.9402600007347489
SBS87	0.029123158207553384	0.03838648064640287	-0.009263322438849485	1794	0.5862459340434969
SBS90	0.01755095108361674	0.0012505110637174015	0.01630044001989934	1887	0.6589277890776872
