pathway	repair_score	ctrl_score	score_diff	wilcox_stat	pvalue
KEGG_ABC_TRANSPORTERS	-0.3057818100051544	-0.2753615634256283	-0.030420246579526133	204	0.6425320212069211
KEGG_ACUTE_MYELOID_LEUKEMIA	-0.15851849105620805	-0.1033549786170138	-0.05516351243919425	184	0.3634081066774088
KEGG_ADHERENS_JUNCTION	-0.12061359151521639	-0.054623543012601465	-0.06599004850261492	194	0.4926929493182593
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	-0.2473774559164639	-0.25741757835518647	0.01004012243872257	234	0.8597697269246928
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	0.1361660345701786	0.12603441496123186	0.010131619608946735	251	0.5803917654299567
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	0.06728750222503427	0.02968961408382632	0.037597888141207944	249	0.6111219511593317
KEGG_ALLOGRAFT_REJECTION	-0.7986111384763338	-0.7936968239612396	-0.004914314515094165	202	0.6111219511593317
KEGG_ALPHA_LINOLENIC_ACID_METABOLISM	-0.07151017397011211	-0.048917423562121747	-0.022592750407990365	216	0.8424515751468298
KEGG_ALZHEIMERS_DISEASE	-0.22897617714940824	-0.1287004985259906	-0.10027567862341763	168	0.20465714639480515
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM	0.03177733476451563	0.10769523195338285	-0.07591789718886721	212	0.7739937452510421
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	-0.29600056609270514	-0.2473125056396127	-0.04868806045309243	196	0.5211396810846288
KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS	-0.18421132299917872	-0.18348125290897463	-7.300700902040935e-4	231	0.9120865990895007
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION	-0.8411200892243677	-0.8409606589264714	-1.5943029789622365e-4	229	0.9471853762463845
KEGG_APOPTOSIS	-0.20297326410505648	-0.1917805247018542	-0.011192739403202284	194	0.4926929493182593
KEGG_ARACHIDONIC_ACID_METABOLISM	-0.03842765042827575	-0.09396210592914823	0.055534455500872486	254	0.5356644798818019
KEGG_ARGININE_AND_PROLINE_METABOLISM	0.0872239267248281	0.13038751300817106	-0.043163586283342964	208	0.7072025621986417
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC	0.029462387948432527	0.011589580099845046	0.017872807848587483	239	0.7739937452510421
KEGG_ASCORBATE_AND_ALDARATE_METABOLISM	0.025679935792409757	0.005521438418096925	0.02015849737431283	225	0.9999999999999999
KEGG_ASTHMA	-0.7608144388783485	-0.7713960831360328	0.010581644257684264	261	0.43831735454827253
KEGG_AUTOIMMUNE_THYROID_DISEASE	-0.7304762511380578	-0.7258183829343284	-0.004657868203729376	211	0.757121287116883
KEGG_AXON_GUIDANCE	0.060780796499986744	0.03256027777599364	0.0282205187239931	250	0.5956690973053509
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY	-0.22001343693763745	-0.24625702868914523	0.026243591751507783	228	0.9647763592602736
KEGG_BASAL_CELL_CARCINOMA	0.02402298763834328	0.04293776768028515	-0.01891478004194187	208	0.7072025621986417
KEGG_BASAL_TRANSCRIPTION_FACTORS	-0.30943076362321636	-0.21530015587174306	-0.0941306077514733	171	0.22988432510154275
KEGG_BASE_EXCISION_REPAIR	-0.1889815878634656	0.005901942917023573	-0.19488353078048917	152	0.10248987423273782
KEGG_BETA_ALANINE_METABOLISM	0.09048794479790295	0.13818201526567894	-0.04769407046777599	194	0.4926929493182593
KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS	0.006703585127467059	0.10839417075810182	-0.10169058563063475	179	0.3073504711137299
KEGG_BLADDER_CANCER	-0.12647790491918925	-0.016215231899300537	-0.11026267301988872	159	0.14083116687271052
KEGG_BUTANOATE_METABOLISM	-0.005667626252830541	0.0598243486075516	-0.065491974860382135	197	0.5356644798818019
KEGG_CALCIUM_SIGNALING_PATHWAY	0.10334517368367316	0.010964183457197215	0.09238099022647595	289	0.16019800505415283
KEGG_CARDIAC_MUSCLE_CONTRACTION	-0.05190764041699685	-0.03945967794531148	-0.012447962471685371	215	0.8252071211370597
KEGG_CELL_ADHESION_MOLECULES_CAMS	-0.5297973650682359	-0.5220964661189996	-0.007700898949236312	218	0.87715364431134
KEGG_CELL_CYCLE	-0.17003749680545435	-0.011568138425098693	-0.15846935838035567	176	0.2765418869461966
KEGG_CHEMOKINE_SIGNALING_PATHWAY	-0.17916533877983806	-0.21258497508608473	0.03341963630624667	242	0.7237185865096998
KEGG_CHRONIC_MYELOID_LEUKEMIA	-0.1363194438440742	-0.023326769028772197	-0.11299267481530201	173	0.2478487336378817
KEGG_CIRCADIAN_RHYTHM_MAMMAL	0.09839245026825932	0.19341944512687637	-0.09502699485861704	182	0.340280838033111
KEGG_CITRATE_CYCLE_TCA_CYCLE	-0.08652150426678105	0.059732438420059826	-0.1462539426868409	168	0.20465714639480515
KEGG_COLORECTAL_CANCER	-0.11653892693516094	0.01478843779014086	-0.1313273647253018	162	0.16019800505415283
KEGG_COMPLEMENT_AND_COAGULATION_CASCADES	-0.24674513976652765	-0.2895622199198213	0.042817080153293635	257	0.4926929493182593
KEGG_CYSTEINE_AND_METHIONINE_METABOLISM	-0.0938101613145702	0.02457655435213727	-0.11838671566670747	153	0.10741111091313214
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION	-0.1665766102869464	-0.23128215657565124	0.06470554628870484	240	0.757121287116883
KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY	-0.10112360546630851	-0.18918433322578426	0.08806072775947575	286	0.1814489537729008
KEGG_DILATED_CARDIOMYOPATHY	-0.05799505903869569	-0.09038926639900449	0.032394207360308805	245	0.6745754746355489
KEGG_DNA_REPLICATION	-0.1899970874115307	-0.03003513700669541	-0.1599619504048353	181	0.3290686403591238
KEGG_DORSO_VENTRAL_AXIS_FORMATION	-0.11724920395901894	-0.17439075997684786	0.057141556017828915	292	0.14083116687271052
KEGG_DRUG_METABOLISM_CYTOCHROME_P450	-0.13384456543674336	-0.1706862669912092	0.03684170155446584	258	0.478778983572432
KEGG_DRUG_METABOLISM_OTHER_ENZYMES	-0.08470251964596939	-0.16053409388427886	0.07583157423830947	298	0.10741111091313214
KEGG_ECM_RECEPTOR_INTERACTION	-0.2178343578503037	-0.1702308902366403	-0.04760346761366341	194	0.4926929493182593
KEGG_ENDOCYTOSIS	-0.315552973155127	-0.2684408737655443	-0.04711209938958266	164	0.17415122883993125
KEGG_ENDOMETRIAL_CANCER	-0.06748734110862521	0.03914075482251638	-0.10662809593114159	171	0.22988432510154275
KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION	-0.1200953824674895	-0.10090802871689214	-0.019187353750597366	226	1
KEGG_ERBB_SIGNALING_PATHWAY	0.009307765364578629	0.01976752134579348	-0.010459755981214852	213	0.7909705410166858
KEGG_ETHER_LIPID_METABOLISM	-0.009921810834340563	-0.009526532308110552	-3.952785262300116e-4	224	0.9823840099868906
KEGG_FATTY_ACID_METABOLISM	-0.06936575266440903	0.060445460448437634	-0.12981121311284666	162	0.16019800505415283
KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY	-0.18453514608491545	-0.23238977617596526	0.047854630091049816	259	0.4650761936305652
KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS	-0.027585635406441367	-0.03065365397544691	0.003068018569005543	225	0.9999999999999999
KEGG_FOCAL_ADHESION	-0.08012243495424219	-0.026649760822647216	-0.053472674131594976	204	0.6425320212069211
KEGG_FOLATE_BIOSYNTHESIS	-0.05200957968703329	0.019008447438195308	-0.0710180271252286	194	0.4926929493182593
KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM	0.1034430339245074	0.12196455411769619	-0.018521520193188784	219	0.8945953017426331
KEGG_GALACTOSE_METABOLISM	-0.10627028114150232	-0.0893965894892349	-0.016873691652267417	215	0.8252071211370597
KEGG_GAP_JUNCTION	-0.03673097523059931	-0.08250174306431711	0.0457707678337178	258	0.478778983572432
KEGG_GLIOMA	-0.023691378078931128	0.02240946909612486	-0.046100847175055984	207	0.6908192933673197
KEGG_GLUTATHIONE_METABOLISM	9.195772229634784e-4	0.05108306668180508	-0.0501634894588416	216	0.8424515751468298
KEGG_GLYCEROLIPID_METABOLISM	-0.12599692676278593	-0.1461738016299522	0.020176874867166267	238	0.7909705410166858
KEGG_GLYCEROPHOSPHOLIPID_METABOLISM	-0.19461743708424217	-0.20118495346013596	0.006567516375893784	223	0.9647763592602736
KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM	0.04350245626078111	0.13577032642145997	-0.09226787016067886	168	0.20465714639480515
KEGG_GLYCOLYSIS_GLUCONEOGENESIS	-0.08116606020687998	-0.017892788625562393	-0.0632732715813176	193	0.478778983572432
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_CHONDROITIN_SULFATE	0.05329827094818599	0.09803294208735874	-0.04473467113917275	206	0.6745754746355489
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_HEPARAN_SULFATE	0.10080886144110292	0.11723593363769644	-0.01642707219659352	218	0.87715364431134
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE	-0.03431931963155903	-0.0062540831844466425	-0.028065236447112386	210	0.7403605062604275
KEGG_GLYCOSAMINOGLYCAN_DEGRADATION	-0.027190761923917593	0.09828613298877245	-0.12547689491269004	179	0.3073504711137299
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GANGLIO_SERIES	-0.2684313102263544	-0.1551621967661757	-0.1132691134601787	164	0.17415122883993125
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GLOBO_SERIES	0.05066092294440099	0.041617619363776906	0.009043303580624086	229	0.9471853762463845
