#sample_id	predicted_ancestry	given_ancestry	EAS_prob	AFR_prob	AMR_prob	SAS_prob	EUR_prob	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
NA10851	EUR	EUR	0	0	4e-4	0	0.9996	0.1665	13.9014	-6.7042	9.18	-1.3325	NA	NA	NA	NA	NA
NA19213	AFR	AFR	0	0.9999	1e-4	0	0	63.577	-18.7219	-1.6261	0.1573	0.3773	NA	NA	NA	NA	NA
HG03470	AFR	AFR	0	0.9979	0.0021	0	0	63.0502	-18.49	0.1194	0.2251	1.7556	NA	NA	NA	NA	NA
NA20821	EUR	EUR	0	0	0.0059	0	0.9941	2.1119	11.9882	-4.1634	8.8934	5.0779	NA	NA	NA	NA	NA
HG02187	EAS	EAS	1	0	0	0	0	-6.3555	-44.4387	-1.101	7.0146	8.5223	NA	NA	NA	NA	NA
HG03652	SAS	SAS	0	0	0	1	0	1.9766	-5.0149	16.8018	-3.0876	4.7132	NA	NA	NA	NA	NA
NA20530	EUR	EUR	0	0	4e-4	0	0.9996	1.3376	13.2518	-5.3435	11.2	3.9006	NA	NA	NA	NA	NA
HG02182	EAS	EAS	1	0	0	0	0	-8.3265	-44.6595	-2.4499	8.3558	4.744	NA	NA	NA	NA	NA
HG01954	AMR	AMR	0	9e-4	0.9991	0	0	-6.9314	-22.7577	-21.3502	-32.6418	-0.1766	NA	NA	NA	NA	NA
NA18499	AFR	AFR	0	0.9999	1e-4	0	0	63.6673	-17.8829	0.026	1.804	1.1004	NA	NA	NA	NA	NA
NA18526	EAS	EAS	0.9999	0	1e-4	0	0	-6.9463	-44.2568	-3.1506	7.6566	-1.9371	NA	NA	NA	NA	NA
HG02215	EUR	EUR	0	0	0.0198	0	0.9802	0.0865	12.4087	-6.4451	10.2121	-3.4403	NA	NA	NA	NA	NA
HG01986	AFR	AFR	0	0.9997	3e-4	0	0	54.9709	-13.8228	-2.1429	2.7603	2.0293	NA	NA	NA	NA	NA
NA19026	AFR	AFR	0	0.9963	0.0037	0	0	59.7443	-15.458	-0.6494	0.8684	0.436	NA	NA	NA	NA	NA
HG02105	AMR	AMR	0	0.0064	0.9936	0	0	-8.173	-25.1239	-22.1329	-39.2337	2.4737	NA	NA	NA	NA	NA
NA21088	SAS	SAS	0	0	0	1	0	1.3028	-5.5253	18.6494	-4.9844	6.4507	NA	NA	NA	NA	NA
NA12282	EUR	EUR	0	0	5e-4	0	0.9995	-1.2559	12.8509	-6.7373	7.3535	-1.6865	NA	NA	NA	NA	NA
NA18616	EAS	EAS	1	0	0	0	0	-8.4598	-43.769	-1.0784	7.5388	3.9869	NA	NA	NA	NA	NA
HG02882	AFR	AFR	0	0.998	0.002	0	0	60.8624	-16.9494	-0.274	1.8026	-2.4382	NA	NA	NA	NA	NA
NA19350	AFR	AFR	0	0.9992	8e-4	0	0	59.7963	-16.8363	0.6086	2.4691	1.4649	NA	NA	NA	NA	NA
HG03738	SAS	SAS	0	0	0	1	0	1.4089	-6.8388	19.1237	-7.2946	-0.878	NA	NA	NA	NA	NA
HG02621	AFR	AFR	0	0.9992	8e-4	0	0	61.6401	-16.9535	-0.3202	2.0615	-0.9858	NA	NA	NA	NA	NA
NA20882	SAS	SAS	0	0	0	1	0	0.9525	-1.3083	12.6591	-2.2401	5.2309	NA	NA	NA	NA	NA
HG01765	EUR	EUR	0	0	0.0277	0	0.9723	1.6115	11.8922	-4.8933	8.6043	0.7087	NA	NA	NA	NA	NA
NA20356	AFR	AFR	0	0.9998	2e-4	0	0	55.0444	-13.9073	-0.5239	1.5087	1.7123	NA	NA	NA	NA	NA
NA20539	EUR	EUR	0	0	0.0682	0	0.9318	2.2012	12.4686	-4.6843	7.6927	2.2566	NA	NA	NA	NA	NA
NA18533	EAS	EAS	1	0	0	0	0	-8.2141	-45.1902	-2.5167	6.7469	4.9519	NA	NA	NA	NA	NA
NA18968	EAS	EAS	1	0	0	0	0	-6.7825	-43.0717	-3.5015	4.4333	-7.9303	NA	NA	NA	NA	NA
HG01284	AMR	AMR	6e-4	5e-4	0.9953	0	0.0036	2.3403	2.7131	-8.2126	-1.1204	3.4832	NA	NA	NA	NA	NA
HG01438	EUR	AMR	0	0	0.0986	0	0.9014	2.2441	11.0847	-6.6244	5.4078	4.8715	NA	NA	NA	NA	NA
NA18602	EAS	EAS	1	0	0	0	0	-7.5227	-43.5751	-3.285	6.2598	-0.9681	NA	NA	NA	NA	NA
HG02386	EAS	EAS	0.9999	0	1e-4	0	0	-8.2957	-43.7641	-2.5477	7.8759	7.4033	NA	NA	NA	NA	NA
HG01303	AMR	AMR	0	0.0042	0.9958	0	0	5.8232	1.4448	-8.2846	-0.3912	2.3838	NA	NA	NA	NA	NA
HG00306	EUR	EUR	0	0	0.072	0	0.928	-1.0238	9.3598	-6.4478	9.1211	-4.125	NA	NA	NA	NA	NA
HG00596	EAS	EAS	1	0	0	0	0	-7.3753	-46.1042	-1.0771	7.0942	0.1329	NA	NA	NA	NA	NA
HG03237	SAS	SAS	0	0	0	1	0	2.3607	-2.093	12.8831	-2.1623	-0.3209	NA	NA	NA	NA	NA
NA19795	AMR	AMR	0	0.0135	0.9865	0	0	1.4295	-7.6408	-13.5432	-14.9061	0.7639	NA	NA	NA	NA	NA
HG02476	AFR	AFR	0	0.9674	0.0326	0	0	52.4243	-14.2488	-0.4943	1.0906	0.0155	NA	NA	NA	NA	NA
HG03691	SAS	SAS	0	0	0	1	0	0.9524	-11.3022	18.7984	-4.1748	3.2587	NA	NA	NA	NA	NA
NA20127	AFR	AFR	0	0.9969	0.0031	0	0	55.4116	-15.584	-2.0124	2.9889	-0.8947	NA	NA	NA	NA	NA
HG00736	EUR	AMR	0	0	0.0332	0	0.9668	3.45	8.0719	-5.6247	4.1993	4.5001	NA	NA	NA	NA	NA
HG00253	EUR	EUR	0	0	0.0241	0	0.9759	-0.1973	12.8003	-5.0063	9.6488	4.2018	NA	NA	NA	NA	NA
HG02104	AMR	AMR	0	3e-4	0.9997	0	0	-6.107	-22.1062	-23.4025	-36.4479	0.58	NA	NA	NA	NA	NA
HG02013	AFR	AFR	0	0.9998	2e-4	0	0	60.0589	-16.9677	0.248	2.372	1.2396	NA	NA	NA	NA	NA
HG01395	AMR	AMR	0	1e-4	0.5819	1e-4	0.418	4.6523	6.548	-6.9349	2.0236	4.224	NA	NA	NA	NA	NA
HG00662	EAS	EAS	1	0	0	0	0	-7.2146	-44.0682	-0.9467	7.485	4.2526	NA	NA	NA	NA	NA
NA18610	EAS	EAS	0.9999	0	1e-4	0	0	-8.7574	-41.6746	-2.5296	7.2217	-1.992	NA	NA	NA	NA	NA
HG02787	SAS	SAS	0	0	0	1	0	0.0853	-9.0849	18.2397	-4.6647	4.205	NA	NA	NA	NA	NA
HG02820	AFR	AFR	0	0.9996	4e-4	0	0	62.7923	-17.7278	0.4724	1.9382	1.0162	NA	NA	NA	NA	NA
HG00304	EUR	EUR	0	0	0.0172	0	0.9828	-1.1624	9.0466	-5.0565	6.7939	0.7127	NA	NA	NA	NA	NA
HG00530	EAS	EAS	1	0	0	0	0	-8.0056	-42.8933	-3.3113	8.2197	1.4851	NA	NA	NA	NA	NA
NA18539	EAS	EAS	1	0	0	0	0	-8.0473	-44.4457	-4.085	7.4123	-1.8707	NA	NA	NA	NA	NA
HG01055	EUR	AMR	0	0	0.0332	0	0.9668	7.9159	4.4871	-5.1936	4.1458	0.6343	NA	NA	NA	NA	NA
HG01137	AMR	AMR	0	3e-4	0.9997	1e-4	0	-1.366	-0.1463	-11.3524	-9.257	2.512	NA	NA	NA	NA	NA
HG03127	AFR	AFR	0	0.9999	1e-4	0	0	61.8952	-16.8505	-1.0313	1.6912	2.4712	NA	NA	NA	NA	NA
HG02462	AFR	AFR	0	0.9964	0.0036	0	0	59.6857	-15.8252	-0.5306	1.1947	3.4726	NA	NA	NA	NA	NA
HG03697	SAS	SAS	0	0	0	1	0	1.6257	-9.4506	19.3197	-5.4913	-1.8407	NA	NA	NA	NA	NA
HG04059	SAS	SAS	0	0	0	1	0	2.2986	-6.466	19.7007	-5.5776	3.1388	NA	NA	NA	NA	NA
HG02419	AFR	AFR	0	0.9999	1e-4	0	0	57.9461	-15.9168	0.2392	1.9565	1.7703	NA	NA	NA	NA	NA
HG04146	SAS	SAS	0	0	0	1	0	0.7316	-13.1177	17.1259	-3.2601	0.5256	NA	NA	NA	NA	NA
HG03600	SAS	SAS	0	0	0	1	0	0.627	-10.2275	21.705	-5.9427	-1.805	NA	NA	NA	NA	NA
NA07048	EUR	EUR	0	0	0.0057	0	0.9943	0.7091	11.5791	-4.1493	11.5906	0.9738	NA	NA	NA	NA	NA
NA18864	AFR	AFR	0	0.9999	1e-4	0	0	63.9298	-18.1737	-1.0151	1.1696	2.0879	NA	NA	NA	NA	NA
HG00237	EUR	EUR	0	0	0.0833	0	0.9167	1.513	11.0726	-4.3823	9.0024	4.0291	NA	NA	NA	NA	NA
HG01747	EUR	EUR	0	0	0.0673	0	0.9327	1.2418	12.4504	-5.6994	8.5379	6.4476	NA	NA	NA	NA	NA
HG04100	SAS	SAS	0	0	0	1	0	3.1234	-8.0565	18.184	-6.6595	-4.3951	NA	NA	NA	NA	NA
NA18956	EAS	EAS	0.9999	0	1e-4	0	0	-6.8795	-43.5614	-2.3956	6.4678	-4.8891	NA	NA	NA	NA	NA
HG03908	SAS	SAS	0	0	0	1	0	1.8033	-10.8299	18.1253	-5.3319	1.9067	NA	NA	NA	NA	NA
NA18525	EAS	EAS	1	0	0	0	0	-6.7025	-44.6388	-3.8202	7.6125	-0.1593	NA	NA	NA	NA	NA
HG02759	AFR	AFR	0	0.9945	0.0055	0	0	61.5151	-16.5378	-0.8887	-0.4557	2.824	NA	NA	NA	NA	NA
NA19257	AFR	AFR	0	0.9997	3e-4	0	0	63.2492	-16.8945	-0.2253	2.7702	2.2577	NA	NA	NA	NA	NA
HG01513	EUR	EUR	0	0	0.1741	0	0.8259	0.5507	12.3553	-6.2253	10.3209	2.5533	NA	NA	NA	NA	NA
NA19036	AFR	AFR	0	0.9997	3e-4	0	0	60.6734	-15.4127	1.1509	1.676	2.3238	NA	NA	NA	NA	NA
NA20332	AFR	AFR	0	0.9897	0.0103	0	0	49.2884	-12.1789	-1.5381	1.9121	0.3674	NA	NA	NA	NA	NA
HG01617	EUR	EUR	0	0	0.3656	0	0.6344	1.7064	10.1736	-6.2556	10.7216	2.2046	NA	NA	NA	NA	NA
NA18647	EAS	EAS	1	0	0	0	0	-7.546	-41.9062	-2.8322	6.536	-1.4915	NA	NA	NA	NA	NA
HG02580	AFR	AFR	0	0.9968	0.0032	0	0	52.0564	-13.0216	-0.6704	3.9831	-0.0312	NA	NA	NA	NA	NA
NA18645	EAS	EAS	1	0	0	0	0	-6.9958	-46.0481	-2.9757	6.2929	-2.5381	NA	NA	NA	NA	NA
HG03598	SAS	SAS	0	0	0	1	0	1.3743	-11.3393	15.9631	-2.0077	5.4179	NA	NA	NA	NA	NA
HG01912	AFR	AFR	0	0.9985	0.0015	0	0	55.7689	-13.7956	-0.8059	1.784	1.5009	NA	NA	NA	NA	NA
HG02130	EAS	EAS	1	0	0	0	0	-8.4635	-42.7025	0.7504	7.0173	5.783	NA	NA	NA	NA	NA
HG02760	AFR	AFR	0	0.9988	0.0012	0	0	61.5983	-17.0684	-0.3082	1.3739	1.17	NA	NA	NA	NA	NA
NA19309	AFR	AFR	0	0.9984	0.0016	0	0	59.2189	-15.22	-0.3442	3.1756	4.4669	NA	NA	NA	NA	NA
HG02322	AFR	AFR	0	0.9993	7e-4	0	0	53.6821	-13.5273	-0.1541	2.8916	4.5592	NA	NA	NA	NA	NA
HG03126	AFR	AFR	0	0.9992	8e-4	0	0	62.8828	-17.7685	-0.3085	1.2744	1.2466	NA	NA	NA	NA	NA
HG03673	SAS	SAS	0	0	0	1	0	2.7972	-9.8267	19.3245	-4.3374	4.3978	NA	NA	NA	NA	NA
NA20541	EUR	EUR	0	0	0.0477	0	0.9523	0.4565	11.517	-4.1869	8.7306	2.8129	NA	NA	NA	NA	NA
HG00159	EUR	EUR	0	0	0.0672	0	0.9328	-0.0858	12.371	-5.0763	9.8092	-1.8318	NA	NA	NA	NA	NA
NA19376	AFR	AFR	0	0.9999	1e-4	0	0	60.9266	-16.6571	1.0058	0.7288	1.4187	NA	NA	NA	NA	NA
HG01680	EUR	EUR	0	0	0.3712	0	0.6288	3.7417	11.5683	-6.5753	7.6876	0.2409	NA	NA	NA	NA	NA
HG01269	EUR	AMR	0	0	0.2957	0	0.7043	4.8922	2.3459	-9.7959	-3.4734	0.9039	NA	NA	NA	NA	NA
HG01945	AMR	AMR	0	0.0091	0.9909	0	0	-4.5229	-17.364	-18.7981	-28.9279	2.6627	NA	NA	NA	NA	NA
HG02878	AFR	AFR	0	0.9999	1e-4	0	0	61.0124	-18.4433	-0.8659	1.3357	3.467	NA	NA	NA	NA	NA
HG00251	EUR	EUR	0	0	0.0084	0	0.9916	0.5246	12.231	-6.1997	9.6388	2.2027	NA	NA	NA	NA	NA
HG00581	EAS	EAS	1	0	0	0	0	-7.9092	-43.2999	-3.23	7.0863	1.6823	NA	NA	NA	NA	NA
HG02941	AFR	AFR	0	0.9994	6e-4	0	0	63.304	-17.459	0.9007	2.1373	-0.5601	NA	NA	NA	NA	NA
HG03445	AFR	AFR	0	0.9991	9e-4	0	0	62.6677	-16.9188	0.1615	2.4394	1.4737	NA	NA	NA	NA	NA
NA18965	EAS	EAS	1	0	0	0	0	-7.5437	-43.2647	-3.3056	6.4877	-5.7849	NA	NA	NA	NA	NA
HG03040	AFR	AFR	0	0.9991	9e-4	0	0	62.1871	-16.6293	0.4366	2.2927	0.0164	NA	NA	NA	NA	NA
HG01684	EUR	EUR	0	0	0.0489	0	0.9511	1.2172	13.6025	-6.3348	9.4235	2.9174	NA	NA	NA	NA	NA
HG03118	AFR	AFR	0	0.9986	0.0014	0	0	63.8993	-18.1371	1.1513	1.8385	-1.2301	NA	NA	NA	NA	NA
NA20808	EUR	EUR	0	0	0.0034	0	0.9966	2.9707	11.6968	-6.3597	10.9001	3.1901	NA	NA	NA	NA	NA
NA19056	EAS	EAS	1	0	0	0	0	-7.5292	-42.4817	-2.663	6.726	-7.1215	NA	NA	NA	NA	NA
HG02536	AFR	AFR	0	0.9983	0.0017	0	0	51.3544	-12.15	-1.5463	2.6852	2.8681	NA	NA	NA	NA	NA
NA19761	AMR	AMR	0	0.0067	0.9933	0	0	-0.4282	-10.3036	-13.7665	-15.9436	1.6643	NA	NA	NA	NA	NA
HG00136	EUR	EUR	0	0	0.012	0	0.988	0.6494	12.7909	-6.005	8.4695	-0.2674	NA	NA	NA	NA	NA
NA21102	SAS	SAS	0	0	0	1	0	2.3117	-4.6593	18.5601	-4.0116	-0.0588	NA	NA	NA	NA	NA
NA20762	EUR	EUR	0	0	0.0024	0	0.9976	2.7519	13.1106	-4.4181	9.9721	3.0058	NA	NA	NA	NA	NA
HG03690	SAS	SAS	0	0	0	1	0	1.5566	-7.9919	19.9474	-3.8934	-1.2217	NA	NA	NA	NA	NA
HG04080	SAS	SAS	0	0	0	1	0	2.6451	-5.3493	16.4688	-3.6137	2.8537	NA	NA	NA	NA	NA
HG02032	EAS	EAS	1	0	0	0	0	-7.921	-44.0379	-2.5841	7.2811	3.5549	NA	NA	NA	NA	NA
HG01815	EAS	EAS	0.9999	0	1e-4	0	0	-5.8222	-44.696	-1.4838	6.6054	5.9184	NA	NA	NA	NA	NA
HG00311	AMR	EUR	0	0	0.564	0	0.436	-2.4941	11.2907	-7.3848	8.5656	0.0419	NA	NA	NA	NA	NA
HG01444	AMR	AMR	0	0.004	0.9954	0	5e-4	6.1208	-2.59	-10.8191	-5.4034	1.4548	NA	NA	NA	NA	NA
HG01247	AMR	AMR	0	0.062	0.938	0	0	10.5295	0.7307	-8.8237	-0.809	-0.1981	NA	NA	NA	NA	NA
NA20525	EUR	EUR	0	0	0.0194	0	0.9806	1.1459	12.2754	-2.9448	9.5989	0.5468	NA	NA	NA	NA	NA
HG03073	AFR	AFR	0	0.9996	4e-4	0	0	63.7559	-18.1711	-0.6828	2.3231	1.3261	NA	NA	NA	NA	NA
HG00231	EUR	EUR	0	0	5e-4	0	0.9995	-0.5324	12.4079	-6.3728	7.3635	0.3828	NA	NA	NA	NA	NA
HG02623	AFR	AFR	0	0.999	0.001	0	0	61.606	-17.6365	-1.5194	1.4664	-0.1397	NA	NA	NA	NA	NA
HG01595	EAS	EAS	1	0	0	0	0	-8.2585	-44.4466	-2.4099	7.4242	4.5045	NA	NA	NA	NA	NA
NA12842	EUR	EUR	0	0	2e-4	0	0.9998	-0.7625	13.2789	-4.9796	10.82	2.1475	NA	NA	NA	NA	NA
HG00864	EAS	EAS	1	0	0	0	0	-6.2169	-43.8243	-0.773	9.4979	7.6644	NA	NA	NA	NA	NA
NA18948	EAS	EAS	1	0	0	0	0	-7.7798	-44.3173	-2.7374	5.7512	-7.3964	NA	NA	NA	NA	NA
HG01341	AMR	AMR	0	2e-4	0.9998	0	0	-3.1281	-10.909	-14.0457	-18.9123	0.2634	NA	NA	NA	NA	NA
HG00879	EAS	EAS	0.9999	0	1e-4	0	0	-6.7064	-44.6496	-1.3293	7.7981	10.0618	NA	NA	NA	NA	NA
NA18646	EAS	EAS	1	0	0	0	0	-7.1035	-44.0888	-2.2728	6.4511	-2.5628	NA	NA	NA	NA	NA
HG04098	SAS	SAS	0	0	0	1	0	0.9264	-7.7704	19.2095	-2.9478	0.829	NA	NA	NA	NA	NA
HG03792	SAS	SAS	0	0	0	1	0	1.6923	-5.4769	17.5904	-4.7413	1.2577	NA	NA	NA	NA	NA
NA18599	EAS	EAS	0.9999	0	1e-4	0	0	-6.8711	-43.5171	-3.5084	5.7877	-1.5371	NA	NA	NA	NA	NA
HG02002	AMR	AMR	0	0.0016	0.9984	0	0	-4.9451	-17.2001	-20.499	-29.8243	2.4254	NA	NA	NA	NA	NA
NA12044	EUR	EUR	0	0	0.0201	0	0.9799	1.1558	13.3777	-6.3475	11.1508	0.3136	NA	NA	NA	NA	NA
HG01107	AMR	AMR	5e-4	0.0411	0.9583	0	1e-4	13.3744	2.2846	-7.1025	2.6375	-2.427	NA	NA	NA	NA	NA
HG02477	AFR	AFR	0	0.9996	4e-4	0	0	55.3854	-13.7175	-0.7899	2.5396	0.7609	NA	NA	NA	NA	NA
NA20542	EUR	EUR	0	0	0.013	0	0.987	1.2356	11.731	-2.8313	9.4555	3.7845	NA	NA	NA	NA	NA
NA19734	AMR	AMR	0	5e-4	0.9995	0	0	-4.7494	-10.9445	-16.5853	-19.6972	1.8685	NA	NA	NA	NA	NA
HG03973	SAS	SAS	0	0	0	1	0	1.8759	-7.5176	20.1523	-4.6454	4.6397	NA	NA	NA	NA	NA
HG02057	EAS	EAS	1	0	0	0	0	-6.6282	-42.7538	-0.0171	8.2604	5.0634	NA	NA	NA	NA	NA
HG02798	AFR	AFR	0	0.9964	0.0036	0	0	60.6259	-17.7092	0.5888	0.5727	-1.5508	NA	NA	NA	NA	NA
NA19247	AFR	AFR	0	0.9997	3e-4	0	0	62.5858	-18.767	-0.1293	3.6787	1.2292	NA	NA	NA	NA	NA
HG02610	AFR	AFR	0	0.9998	2e-4	0	0	61.6527	-16.8954	-0.0141	1.2554	0.3318	NA	NA	NA	NA	NA
NA11830	EUR	EUR	0	0	0.0015	0	0.9985	0.6166	12.3573	-4.3518	9.2124	1.0715	NA	NA	NA	NA	NA
NA19652	AMR	AMR	4e-4	6e-4	0.8715	0.0032	0.1244	0.8198	0.9501	-9.1084	-4.1382	1.0564	NA	NA	NA	NA	NA
NA18949	EAS	EAS	0.9999	0	1e-4	0	0	-7.6139	-42.4902	-2.0872	6.7623	-5.5189	NA	NA	NA	NA	NA
NA20321	AFR	AFR	0	0.9987	0.0013	0	0	50.1383	-11.7514	-1.5688	2.4982	4.6745	NA	NA	NA	NA	NA
HG02385	EAS	EAS	0.9998	0	2e-4	0	0	-6.7174	-43.983	-1.5094	8.1582	7.6406	NA	NA	NA	NA	NA
NA18641	EAS	EAS	1	0	0	0	0	-7.6657	-44.1405	-3.4428	6.2284	-1.8622	NA	NA	NA	NA	NA
NA20801	EUR	EUR	0	0	0.0235	0	0.9765	1.677	13.88	-5.6134	10.7796	4.584	NA	NA	NA	NA	NA
NA21087	SAS	SAS	0	0	0	1	0	1.1063	-7.2228	18.2938	-5.4134	1.454	NA	NA	NA	NA	NA
NA18961	EAS	EAS	1	0	0	0	0	-7.5734	-44.3261	-1.7619	4.7736	-5.9828	NA	NA	NA	NA	NA
HG03048	AFR	AFR	0	0.9998	2e-4	0	0	62.2901	-16.7395	-0.4217	1.4591	0.0669	NA	NA	NA	NA	NA
NA19146	AFR	AFR	0	0.9996	4e-4	0	0	62.6504	-18.0791	-0.1365	0.5359	1.2136	NA	NA	NA	NA	NA
HG00473	EAS	EAS	1	0	0	0	0	-8.1444	-46.0322	-4.081	8.6552	2.4702	NA	NA	NA	NA	NA
HG03802	SAS	SAS	0	0	0	1	0	-0.7968	-11.733	17.6563	-1.7027	2.1153	NA	NA	NA	NA	NA
HG00158	EUR	EUR	0	0	0.0146	0	0.9854	-0.0118	10.454	-5.5026	7.335	2.9206	NA	NA	NA	NA	NA
NA20902	SAS	SAS	0	0	0	1	0	1.6433	-6.1668	19.0903	-6.1108	0.117	NA	NA	NA	NA	NA
NA20278	AFR	AFR	0	0.9675	0.0325	0	0	31.1686	-1.1519	-2.3527	6.6622	1.2718	NA	NA	NA	NA	NA
NA20852	SAS	SAS	0	0	0	1	0	1.6357	-4.5934	16.8691	-5.5122	0.7567	NA	NA	NA	NA	NA
HG00629	EAS	EAS	1	0	0	0	0	-7.6253	-44.7026	-3.2524	7.6613	-2.379	NA	NA	NA	NA	NA
NA19720	AMR	AMR	0	0.0274	0.9726	0	0	-0.1646	-12.324	-17.2432	-17.7743	-3.179	NA	NA	NA	NA	NA
HG01447	AMR	AMR	0	0.0104	0.9896	0	0	3.5003	1.6844	-8.424	-2.5334	1.289	NA	NA	NA	NA	NA
HG01242	AFR	AMR	0	0.9594	0.0406	0	0	30.6802	-3.502	-2.6719	2.4337	3.5796	NA	NA	NA	NA	NA
HG01506	EUR	EUR	0	0	0.0081	0	0.9919	2.3876	13.2342	-4.2452	8.8425	0.5001	NA	NA	NA	NA	NA
HG03869	SAS	SAS	0	0	0	1	0	0.4177	-7.8745	18.0089	-6.903	-0.9821	NA	NA	NA	NA	NA
HG00290	EUR	EUR	7e-4	0	0.2387	0	0.7606	-1.2493	6.5285	-4.673	8.5449	-0.0203	NA	NA	NA	NA	NA
HG03571	AFR	AFR	0	1	0	0	0	61.792	-18.2323	0.443	2.4022	-0.7988	NA	NA	NA	NA	NA
NA20582	EUR	EUR	0	0	0.0032	0	0.9968	0.7644	13.8197	-5.2617	9.0538	0.3548	NA	NA	NA	NA	NA
NA20910	SAS	SAS	0	0	0	1	0	2.645	-0.279	12.4159	-2.4186	3.059	NA	NA	NA	NA	NA
HG01122	EUR	AMR	0	0	0.3455	0	0.6545	4.2533	4.8387	-9.5035	-2.0925	2.5871	NA	NA	NA	NA	NA
NA19756	AMR	AMR	0	0.0042	0.9958	0	0	0.5066	-8.2053	-13.4626	-11.2144	-1.6266	NA	NA	NA	NA	NA
NA18972	EAS	EAS	0.9999	0	1e-4	0	0	-7.1213	-42.6684	-3.8691	6.4348	-2.6005	NA	NA	NA	NA	NA
HG01593	SAS	SAS	0	0	0	1	0	1.7883	0.5452	14.2635	-1.7711	-2.1639	NA	NA	NA	NA	NA
HG00436	EAS	EAS	1	0	0	0	0	-7.296	-44.2016	-2.8267	8.7289	2.6138	NA	NA	NA	NA	NA
NA20887	SAS	SAS	0	0	0	1	0	1.4475	-6.1719	15.3289	-2.37	3.187	NA	NA	NA	NA	NA
HG01519	EUR	EUR	0	0	0.0996	0	0.9004	0.1604	13.9716	-4.9876	9.8105	3.9351	NA	NA	NA	NA	NA
NA21090	SAS	SAS	0	0	0	1	0	1.9679	-6.2359	20.2338	-5.1135	4.6348	NA	NA	NA	NA	NA
NA20877	SAS	SAS	0	0	0	1	0	1.2817	-5.0035	17.3768	-5.1203	5.0794	NA	NA	NA	NA	NA
HG03720	SAS	SAS	0	0	0	1	0	2.0587	-8.7875	20.0287	-7.023	0.2448	NA	NA	NA	NA	NA
NA18642	EAS	EAS	0.9999	0	1e-4	0	0	-6.2667	-42.0974	-3.3884	5.4615	-2.5763	NA	NA	NA	NA	NA
HG03868	SAS	SAS	0	0	0	1	0	0.0277	-4.7954	17.937	-4.7276	1.9372	NA	NA	NA	NA	NA
HG01565	AMR	AMR	0	2e-4	0.9998	0	0	-3.9628	-12.3856	-17.7397	-23.3666	-0.8879	NA	NA	NA	NA	NA
HG00690	EAS	EAS	1	0	0	0	0	-8.0952	-44.1052	-2.2965	6.9233	3.4794	NA	NA	NA	NA	NA
NA19923	AFR	AFR	0	0.7816	0.2184	0	0	38.7176	-7.1227	-1.6661	2.4911	-2.655	NA	NA	NA	NA	NA
NA11919	EUR	EUR	0	0	0.0067	0	0.9933	0.6908	14.0464	-5.8283	7.8806	1.9385	NA	NA	NA	NA	NA
NA19011	EAS	EAS	1	0	0	0	0	-6.6456	-42.6287	-3.5073	6.1428	-2.3664	NA	NA	NA	NA	NA
HG03133	AFR	AFR	0	0.9999	1e-4	0	0	63.9415	-17.657	-0.1393	0.8035	-1.5562	NA	NA	NA	NA	NA
NA19090	EAS	EAS	0.9999	0	1e-4	0	0	-7.4837	-43.7069	-3.1048	7.5876	-6.8667	NA	NA	NA	NA	NA
HG01363	AMR	AMR	2e-4	0.0057	0.9941	0	0	8.8735	-4.1521	-9.9104	-2.3289	-0.9363	NA	NA	NA	NA	NA
NA20768	EUR	EUR	0	0	0.0017	0	0.9983	0.7409	11.7455	-4.8536	10.7413	1.9888	NA	NA	NA	NA	NA
HG01089	AMR	AMR	0	0.004	0.9959	0	1e-4	9.3804	1.855	-6.7904	2.5891	3.422	NA	NA	NA	NA	NA
NA19043	AFR	AFR	0	0.9999	1e-4	0	0	60.1549	-17.2416	0.68	0.1245	-0.1421	NA	NA	NA	NA	NA
HG04020	SAS	SAS	0	0	0	1	0	2.0922	-6.9036	17.8209	-4.6523	0.6137	NA	NA	NA	NA	NA
HG03886	SAS	SAS	0	0	0	1	0	1.5006	-8.658	19.971800000000002	-6.8754	1.3331	NA	NA	NA	NA	NA
HG03619	SAS	SAS	0	0	0	1	0	1.1217	-1.0552	9.99	-1.2732	-0.1766	NA	NA	NA	NA	NA
HG03916	SAS	SAS	0	0	0	1	0	-0.3644	-10.5234	18.4113	-3.9957	0.1606	NA	NA	NA	NA	NA
HG00146	EUR	EUR	0	0	0.0286	0	0.9714	0.49	13.2833	-6.1185	10.0798	-1.5366	NA	NA	NA	NA	NA
HG02722	AFR	AFR	0	0.9997	3e-4	0	0	62.1935	-16.682	0.0229	2.021	2.4419	NA	NA	NA	NA	NA
NA20346	AFR	AFR	0	0.9981	0.0019	0	0	51.9204	-12.9542	-0.5353	3.6474	2.7412	NA	NA	NA	NA	NA
HG00335	EUR	EUR	0	0	0.019	0	0.981	-2.8005	10.7807	-7.95	8.2737	-3.9971	NA	NA	NA	NA	NA
HG02054	AFR	AFR	0	0.9993	7e-4	0	0	56.1797	-14.3491	-2.5145	2.6805	2.0836	NA	NA	NA	NA	NA
HG01798	EAS	EAS	1	0	0	0	0	-6.8397	-43.2245	-1.876	8.3511	4.6833	NA	NA	NA	NA	NA
HG01097	AMR	AMR	0	0.0034	0.996	2e-4	4e-4	7.7382	4.4793	-7.5352	2.1613	0.1057	NA	NA	NA	NA	NA
